pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
144.356547,-104.296696,0.0,top,BUT_R1,,,R_0402_1005Metric,10k,smt
147.720677,-124.297293,90.0,top,BUT_R2,,,R_0402_1005Metric,10k,smt
152.800916,-109.095109,90.0,top,BUT_R3,,,R_0402_1005Metric,10k,smt
152.560448,-124.297293,90.0,top,BUT_R4,,,R_0402_1005Metric,10k,smt
128.887611,-89.681145,0.0,top,BUZ_D1,,,D_SOD-123,BAT54T1G,smt
125.456681,-106.684591,90.0,top,BUZ_R1,,,R_1206_3216Metric,50R,smt
141.766008,-96.224213,180.0,top,BUZ_R2,,,R_0402_1005Metric,1k5,smt
130.649833,-97.56325,90.0,top,BZ1,,,Buzzer_D14mm_H7mm_P10mm,SMTB-0927-TW-R,tht
145.797302,-83.159773,0.0,top,CSTL_C1,,,C_0402_1005Metric,16pF,smt
145.125495,-85.793305,-90.0,top,CSTL_C2,,,C_0402_1005Metric,16pF,smt
171.434291,-96.094398,90.0,top,D1,,,LTST-C170GKT,LTST-C170GKT,smt
174.686024,-96.021779,90.0,top,D2,,,LTST-C170GKT,LTST-C170GKT,smt
177.972188,-96.044202,90.0,top,D3,,,LTST-C170GKT,LTST-C170GKT,smt
150.600285,-92.156192,90.0,top,FB1,,,Ferrite_0603,ILBB0603ER121V,smt
157.918528,-76.780201,-90.0,top,I2C_R1,,,R_0402_1005Metric,10k,smt
160.300519,-76.748048,-90.0,top,I2C_R2,,,R_0402_1005Metric,10k,smt
190.338188,-109.992891,-90.0,top,J1,,,SMA_90deg,RF2-03E-T-00-50-G,tht
171.444382,-91.065077,-90.0,top,LED_R1,,,R_1206_3216Metric,145R,smt
174.689472,-90.977865,-90.0,top,LED_R2,,,R_1206_3216Metric,145R,smt
177.9544,-90.971103,-90.0,top,LED_R3,,,R_1206_3216Metric,145R,smt
177.869013,-81.324887,-90.0,top,MLX_C1,,,C_0402_1005Metric,100nF,smt
177.361766,-75.807249,0.0,top,MLX_C2,,,C_0402_1005Metric,100nF,smt
171.019801,-75.027401,-90.0,top,MLX_C3,,,C_0603_1608Metric,1uF,smt
180.226624,-76.584622,90.0,top,MLX_R1,,,R_0402_1005Metric,10k,smt
180.177236,-79.092262,-90.0,top,MLX_R2,,,R_0402_1005Metric,10k,smt
114.235277,-91.797018,0.0,top,PWR_C1,,,C_1206_3216Metric,10uF,smt
113.574877,-81.846789,180.0,top,PWR_C2,,,C_0603_1608Metric,4.7uF,smt
113.810283,-99.109129,-90.0,top,PWR_C3,,,C_0603_1608Metric,1uF,smt
106.681187,-99.300277,-90.0,top,PWR_C4,,,C_0402_1005Metric,100nF,smt
112.305458,-100.395165,90.0,top,PWR_C5,,,C_0402_1005Metric,10nF,smt
117.911156,-91.006319,90.0,top,PWR_D1,,,LTST-C190EKT,LTST-C190EKT,smt
114.103128,-103.519171,0.0,top,PWR_D2,,,LTST-C190EKT,LTST-C190EKT,smt
117.907483,-86.649488,-90.0,top,PWR_R1,,,R_1206_3216Metric,145R,smt
117.004854,-99.892014,-90.0,top,PWR_R2,,,R_1206_3216Metric,145R,smt
119.582044,-99.892014,-90.0,top,PWR_R3,,,R_1206_3216Metric,145R,smt
118.264814,-103.633713,180.0,top,PWR_R4,,,R_1206_3216Metric,145R,smt
138.611808,-97.133491,-90.0,top,Q1,,,SOT-23,MMBT3904,smt
154.529054,-78.594732,0.0,top,STM_C1,,,C_0402_1005Metric,100nF,smt
155.120749,-93.325498,180.0,top,STM_C3,,,C_0402_1005Metric,100nF,smt
161.622231,-93.343763,180.0,top,STM_C4,,,C_0402_1005Metric,100nF,smt
166.840406,-82.379607,-90.0,top,STM_C5,,,C_0402_1005Metric,100nF,smt
132.899705,-82.160496,-90.0,top,STM_C6,,,C_1206_3216Metric,10uF,smt
148.189259,-91.320267,180.0,top,STM_C8,,,C_0603_1608Metric,1uF,smt
148.180222,-92.914887,180.0,top,STM_C9,,,C_0603_1608Metric,1uF,smt
156.38015,-77.778722,-90.0,top,STM_R2,,,R_0402_1005Metric,1k5,smt
154.510958,-77.284395,180.0,top,STM_R3,,,R_0402_1005Metric,10k,smt
150.667053,-85.905431,-90.0,top,S_C10,,,C_0402_1005Metric,100nF,smt
150.483023,-81.634002,90.0,top,S_C2,,,C_0402_1005Metric,100nF,smt
150.669133,-87.907129,90.0,top,S_C7,,,C_0402_1005Metric,10nF,smt
149.419988,-85.905667,90.0,top,S_R1,,,R_0402_1005Metric,10k,smt
146.792778,-85.264942,0.0,top,S_R4,,,R_0402_1005Metric,10R,smt
158.116798,-85.897422,0.0,top,U1,,,LQFP64-10x10mm,STM32F103RET6,smt
107.744285,-86.406381,90.0,top,U2,,,DPAK-3_ONS-M,NCV5501DT33RKG,smt
109.452321,-99.763395,0.0,top,U3,,,SOT-23-5,NJM2882F05-TE1,smt
177.116419,-78.373458,0.0,top,U4,,,QFN-16_MLX90393_MEL-L,MLX90393SLW-ABA-011-RE,smt
140.045136,-84.384038,0.0,top,Y1,,,Crystal,CTX853CT-ND,smt
